,Title,Year,Rating,Link
178,Before Sunrise,1995,8.1,/title/tt0112471/
179,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,/title/tt1201607/
180,12 Years a Slave,2013,8.1,/title/tt2024544/
181,On the Waterfront,1954,8.1,/title/tt0047296/
182,Ben-Hur,1959,8.1,/title/tt0052618/
183,The Grand Budapest Hotel,2014,8.1,/title/tt2278388/
184,Gone Girl,2014,8.1,/title/tt2267998/
185,Smultronstället,1957,8.1,/title/tt0050986/
186,The General,1926,8.1,/title/tt0017925/
187,Barry Lyndon,1975,8.1,/title/tt0072684/
188,In the Name of the Father,1993,8.1,/title/tt0107207/
189,The Third Man,1949,8.1,/title/tt0041959/
190,The Deer Hunter,1978,8.1,/title/tt0077416/
191,Hacksaw Ridge,2016,8.1,/title/tt2119532/
192,Le salaire de la peur,1953,8.1,/title/tt0046268/
193,Salinui chueok,2003,8.1,/title/tt0353969/
194,Sherlock Jr.,1924,8.1,/title/tt0015324/
195,Relatos salvajes,2014,8.1,/title/tt3011894/
196,Mr. Smith Goes to Washington,1939,8.1,/title/tt0031679/
197,Mad Max: Fury Road,2015,8.1,/title/tt1392190/
198,Mary and Max.,2009,8.1,/title/tt0978762/
199,Det sjunde inseglet,1957,8.1,/title/tt0050976/
200,How to Train Your Dragon,2010,8.1,/title/tt0892769/
201,"Monsters, Inc.",2001,8.1,/title/tt0198781/
202,Jaws,1975,8.1,/title/tt0073195/
203,Room,2015,8.1,/title/tt3170832/
204,Dead Poets Society,1989,8.1,/title/tt0097165/
205,The Big Lebowski,1998,8.1,/title/tt0118715/
206,Tôkyô monogatari,1953,8.1,/title/tt0046438/
207,La passion de Jeanne d'Arc,1928,8.1,/title/tt0019254/
208,Ford v Ferrari,2019,8.0,/title/tt1950186/
209,Hotel Rwanda,2004,8.0,/title/tt0395169/
210,Rocky,1976,8.0,/title/tt0075148/
211,Platoon,1986,8.0,/title/tt0091763/
212,Ratatouille,2007,8.0,/title/tt0382932/
213,Spotlight,2015,8.0,/title/tt1895587/
214,Logan,2017,8.0,/title/tt3315342/
215,The Terminator,1984,8.0,/title/tt0088247/
216,Stand by Me,1986,8.0,/title/tt0092005/
217,Rush,2013,8.0,/title/tt1979320/
218,Network,1976,8.0,/title/tt0074958/
219,Before Sunset,2004,8.0,/title/tt0381681/
220,Into the Wild,2007,8.0,/title/tt0758758/
221,The Wizard of Oz,1939,8.0,/title/tt0032138/
222,The Best Years of Our Lives,1946,8.0,/title/tt0036868/
223,Groundhog Day,1993,8.0,/title/tt0107048/
224,The Exorcist,1973,8.0,/title/tt0070047/
225,Pather Panchali,1955,8.0,/title/tt0048473/
226,The Incredibles,2004,8.0,/title/tt0317705/
227,To Be or Not to Be,1942,8.0,/title/tt0035446/
228,La haine,1995,8.0,/title/tt0113247/
229,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,/title/tt0325980/
230,La battaglia di Algeri,1966,8.0,/title/tt0058946/
231,Hachi: A Dog's Tale,2009,8.0,/title/tt1028532/
232,The Grapes of Wrath,1940,8.0,/title/tt0032551/
233,Jai Bhim,2021,8.0,/title/tt15097216/
234,Babam ve Oglum,2005,8.0,/title/tt0476735/
235,Amores perros,2000,8.0,/title/tt0245712/
236,Rebecca,1940,8.0,/title/tt0032976/
237,Cool Hand Luke,1967,8.0,/title/tt0061512/
238,Ah-ga-ssi,2016,8.0,/title/tt4016934/
239,Les quatre cents coups,1959,8.0,/title/tt0053198/
240,The Sound of Music,1965,8.0,/title/tt0059742/
241,It Happened One Night,1934,8.0,/title/tt0025316/
242,Persona,1966,8.0,/title/tt0060827/
243,Life of Brian,1979,8.0,/title/tt0079470/
244,The Iron Giant,1999,8.0,/title/tt0129167/
245,The Help,2011,8.0,/title/tt1454029/
246,Dersu Uzala,1975,8.0,/title/tt0071411/
247,Aladdin,1992,8.0,/title/tt0103639/
248,Dances with Wolves,1990,8.0,/title/tt0099348/
249,Gandhi,1982,8.0,/title/tt0083987/
